rest_id,rest_name,menu_id,menu_name,category_large,category_small,category_main,menu_ingredient
9,A,9,A,A,A,A,A
1616,왕자관,2135291,우동,중식,우동/면,중식,면/가쓰오부시
1616,왕자관,2135292,간짜장,중식,짜장/면,중식,야채/돼지고기/면
1616,왕자관,2135293,짬뽕,중식,짬뽕/면,중식,야채/해산물/면
1616,왕자관,2135294,굴짬뽕,중식,짬뽕/해산물,중식,야채/해산물/면/굴
1616,왕자관,2135295,백짬뽕,중식,짬뽕/면,중식,야채/해산물/면
1616,왕자관,2135296,삼선우동,중식,우동/면,중식,야채/해산물/고기/버섯/면/가쓰오부시
1616,왕자관,2135297,삼선간짜장,중식,짜장/면,중식,야채/해산물/돼지고기/면
1616,왕자관,2135298,삼선짬뽕,중식,짬뽕/면,중식,야채/해산물/고기/버섯/면
1616,왕자관,2135301,쟁반짜장,중식,짜장/면,중식,야채/돼지고기/면
1616,왕자관,2135304,볶음밥,중식,볶음밥/밥,중식,야채/쌀
1616,왕자관,2135305,짬뽕밥,중식,짬뽕/국밥,중식,야채/해산물/쌀
1616,왕자관,2135306,해물덮밥,중식,덮밥/밥,중식,야채/해산물/쌀
1616,왕자관,2135307,삼선짬뽕밥,중식,국밥/밥,중식,야채/해산물/고기/쌀/버섯
1616,왕자관,2135308,삼선볶음밥,중식,볶음밥/밥,중식,야채/해산물/고기/쌀/버섯
1616,왕자관,2135309,새우볶음밥,중식,볶음밥/밥,중식,야채/왕새우/쌀
1616,왕자관,2135310,잡채밥,중식,덮밥/밥,중식,야채/고기/쌀/버섯/당면
1616,왕자관,2135311,잡탕밥,중식,덮밥/밥,중식,야채/해산물/쌀
1616,왕자관,2135312,군만두,중식,만두,중식,야채/두부/고기/밀가루
1616,왕자관,2135313,수제물만두,중식,만두,중식,야채/두부/고기/밀가루
1639,신성식당,263,상추백반,한식,백반/밥,백반/죽/국수/한식,야채/쌀
1639,신성식당,264,사골우거지탕,한식,탕,찜/탕/찌개/전골,야채/우거지/사골
1639,신성식당,265,사골곰탕,한식,곰탕/탕,찜/탕/찌개/전골,소고기/파/소뼈/사골육수
1639,신성식당,266,추어탕,한식,추어탕/탕,찜/탕/찌개/전골,야채/미꾸라지
1639,신성식당,267,돌솥비빔밥,한식,비빔밥/밥,백반/죽/국수/한식,야채/쌀
1639,신성식당,268,비빔밥,한식,비빔밥/밥,백반/죽/국수/한식,야채/쌀
1639,신성식당,269,김치전골,한식,전골,찜/탕/찌개/전골,야채/김치
