rest_id,rest_name,rest_address,rest_type,rest_latitude,rest_longitude,rest_distance,rest_tel,rest_ontime,rest_offtime,rest_naver
9,A,A,A,9,9,9,A,A,A,9
1616,왕자관,광주광역시 동구 충장로 101-6,중식,35.14724199,126.9182683,350,062-222-3344,매일 10:00~21:30,,
1639,신성식당,광주광역시 동구 충장로 101-17,한식,35.14763166,126.9180182,322,062-232-0177,매일 10:00~22:00,,4.55
2591,900달러,광주광역시 동구 동계천로 103-2,양식,35.15134793,126.9220531,255,010-8358-8082,매일 12:00~23:00,,4.5
5959,미미당,광주광역시 동구 충장로 93-12,일식,35.14790641,126.917782,304,062-222-8451,매일 11:30~21:00,화요일,4.45
8251,등촌칼국수,광주광역시 동구 충장로 101-11,한식,35.14743342,126.9181062,337,062-227-5574,매일 10:30~22:00,,4.36
11702,낙지한마당,광주광역시 동구 예술길 36,한식,35.14891029,126.9194381,127,062-228-8022,,,4.31
13657,종가집,광주광역시 동구 중앙로196번길 15-35,한식,35.150347,126.9180128,167,062-227-6116,매일 12:00~21:00,,4.27
13663,월계수식당,광주광역시 동구 충장로 102-11,한식,35.14676149,126.9174896,422,062-222-3231,매일 11:00~21:00,,4.32
15892,해뜨는집,광주광역시 동구 중앙로196번길 35,한식,35.14847289,126.9190819,188,062-228-9233,매일 11:00~20:00,일요일,4.7
18151,풍남옥,광주광역시 동구 예술길 38-1,한식,35.14866478,126.919603,156,062-234-9888,매일 00:00~24:00,,4.38
23220,홍능갈비,광주광역시 동구 충장로 101-21,식육,35.1477082,126.9179084,308,062-222-1421,,,4.24
30063,민속촌,광주광역시 동구 문화전당로 37-2,식육,35.14587901,126.918758,477,062-224-4577,매일 11:30~22:00,,4.6
30065,두레식당,광주광역시 동구 구성로194번길 21-1,한식,35.15171336,126.9158823,397,062-225-7510,매일 11:00~21:00,,4.26
35130,1515짜장면,광주광역시 동구 서석로85번길 8-10,중식,35.15005123,126.9205235,64,062-236-1514,매일 11:00~20:30,일요일,4.37
