식당ID,식당명,도로명주소,지번주소,식당위도,식당경도,식당전화번호,식당업태,영업인허가명,음식점소개내용
1243,왕자관,광주광역시 동구 충장로 101-6,광주광역시 동구 충장로1가 8-2,35.1472,126.9183,062-222-3344,중국식,일반음식점,"""왕자관""은 광주광역시 동구에 있는 맛집으로, 가장 가까운 지하철역은 문화전당역(구도청)입니다. 50년 이상의 전통을 자랑합니다."
1639,신성,광주광역시 동구 충장로 101-17,광주광역시 동구 충장로1가 2-3,35.1476,126.918,062-232-0177,한식,일반음식점,"""신성""은 광주광역시 동구에 있는 맛집으로, 가장 가까운 지하철역은 문화전당역(구도청)입니다. 위생 수준이 우수하고 친절한 서비스로 지방자치단체의 선정을 받은 모범음식점입니다. 50년 이상의 전통을 자랑합니다. 레드테이블에서 온라인 예약이 가능합니다!"
1640,남양닭칼국수,광주광역시 동구 충장로58번길 4,광주광역시 동구 충장로4가 36-4,35.1496,126.9139,062-223-8011,한식,일반음식점,"""남양닭칼국수""는 광주광역시 동구에 있는 맛집으로, 가장 가까운 지하철역은 금남로4가역입니다. 50년 이상의 전통을 자랑합니다."
1988,제일반점,광주광역시 동구 구성로 174,광주광역시 동구 금남로5가 147-7,35.1516,126.9126,062-223-6395,중국식,일반음식점,"""제일반점""은 광주광역시 동구에 있습니다. 가장 가까운 지하철역은 금남로4가역입니다. 위생 수준이 우수하고 친절한 서비스로 지방자치단체의 선정을 받은 모범음식점입니다. 50년 이상의 전통을 자랑합니다. 레드테이블에서 온라인 예약이 가능합니다!"
2292,청하,광주광역시 동구 충장로 45-12,광주광역시 동구 충장로4가 3-4,35.1505,126.9138,062-223-7037,일식,일반음식점,"""청하""는 광주광역시 동구에 있는 맛집으로, 가장 가까운 지하철역은 금남로4가역입니다. 위생 수준이 우수하고 친절한 서비스로 지방자치단체의 선정을 받은 모범음식점입니다. 50년 이상의 전통을 자랑합니다. 레드테이블에서 온라인 예약이 가능합니다!"
2589,한성,광주광역시 동구 충장로 45-22,광주광역시 동구 금남로4가 85-1,35.1508,126.9139,062-224-2842,일식,일반음식점,"광주광역시 동구에서 맛집을 찾으신다면 ""한성""에 방문해보세요. 금남로4가역 근처에 있습니다. 위생 수준이 우수하고 친절한 서비스로 지방자치단체의 선정을 받은 모범음식점입니다. 레드테이블에서 온라인 예약이 가능합니다!"
2590,영안반점,광주광역시 동구 충장로 45-13,광주광역시 동구 금남로5가 135-1,35.1508,126.9136,062-223-6098,중국식,일반음식점,"광주광역시 동구에서 가 볼 만한 식당을 찾으신다면? 금남로4가역 근처에 있는 ""영안반점""을 추천합니다!"
2591,900달러,광주광역시 동구 동계천로 103-2,광주광역시 동구 동명동 200-223,35.1514,126.9221,062-00234-7495,한식,일반음식점,"광주광역시 동구에서 맛집을 찾으신다면 ""900달러""에 방문해보세요. 문화전당역(구도청) 근처에 있습니다."
2592,산탕집,광주광역시 동구 중앙로246번길 2-1,광주광역시 동구 동명동 243-7,35.1536,126.92,062-222-8373,한식,일반음식점,"광주광역시 동구에서 어디를 갈지 고민이라면! ""산탕집""에 가보시는 건 어떨까요?"
2593,우리집,광주광역시 동구 증심사길30번길 33,광주광역시 동구 운림동 989,35.1331,126.9585,062-222-9230,한식,일반음식점,"광주광역시 동구에서 맛집을 찾으신다면 ""우리집""을 추천합니다."
2594,나주곰탕,광주광역시 동구 지산로78번길 3,광주광역시 동구 지산동 373-6,35.1508,126.9334,062-529-2615,한식,일반음식점,"무엇을 먹을지 고민되신다고요? 광주광역시 동구에 계시다면 ""나주곰탕""을 추천합니다! 지방자치단체 인증을 받은 농림축산식품부 제공 안심식당입니다."
3004,매실옥,광주광역시 동구 백서로125번길 25,광주광역시 동구 금동 100-2,35.1439,126.9179,062-224-7020,중국식,일반음식점,"광주광역시 동구에서 가 볼 만한 식당을 찾으신다면? 문화전당역(구도청) 근처에 있는 ""매실옥""을 추천합니다!"
3841,은성반점,광주광역시 동구 무등로304번길 55,광주광역시 동구 계림동 917,35.16,126.915,062-224-8386,중국식,일반음식점,"광주광역시 동구에서 맛집을 찾으신다면 ""은성반점""을 추천합니다."
3842,삼미관,광주광역시 동구 백서로189번길 14-32,광주광역시 동구 서석동 18-3,35.1458,126.9243,062-227-0391,중국식,일반음식점,"광주광역시 동구에서 맛집을 찾으신다면 ""삼미관""에 방문해보세요. 문화전당역(구도청) 근처에 있습니다."
3843,풍성,광주광역시 동구 남문로753번길 25,광주광역시 동구 학동 904-66,35.1357,126.9228,062-222-5747,중국식,일반음식점,"광주광역시 동구에 가신다면 ""풍성""에 방문해보세요~"
3844,케이피라인,광주광역시 동구 천변우로 363-21,광주광역시 동구 호남동 3-8,35.1488,126.912,062-234-9257,한식,일반음식점,"""케이피라인""은 광주광역시 동구에 있는 맛집으로, 가장 가까운 지하철역은 금남로4가역입니다."
4841,한우방,광주광역시 동구 중앙로196번길 17,광주광역시 동구 궁동 55-4,35.1497,126.9177,062-233-5009,한식,일반음식점,"광주광역시 동구에 가신다면 ""한우방""에 방문해보세요~"
4842,장성식당,광주광역시 동구 장동로 1,광주광역시 동구 장동 62-18,35.1494,126.9225,062-227-1244,한식,일반음식점,"광주광역시 동구에서 맛집을 찾으신다면 ""장성식당""에 방문해보세요. 문화전당역(구도청) 근처에 있습니다."
5336,반도족발선지국,광주광역시 동구 독립로264번길 26-1,광주광역시 동구 금남로5가 86-2,35.1532,126.9135,062-223-6834,한식,일반음식점,"광주광역시 동구에서 가 볼 만한 식당을 찾으신다면? 금남로4가역 근처에 있는 ""반도족발선지국""을 추천합니다!"
5337,쌍학,광주광역시 동구 구성로152번길 13,광주광역시 동구 수기동 59,35.1495,126.9119,062-225-5200,일식,일반음식점,"광주광역시 동구에서 가 볼 만한 식당을 찾으신다면? 금남로4가역 근처에 있는 ""쌍학""을 추천합니다! 위생 수준이 우수하고 친절한 서비스로 지방자치단체의 선정을 받은 모범음식점입니다. 레드테이블에서 온라인 예약이 가능합니다!"
5338,제이크피자,광주광역시 동구 지호로 151,광주광역시 동구 지산동 71,35.1495,126.9447,062-227-2333,한식,일반음식점,"""제이크피자""를 광주광역시 동구의 가 볼 만한 식당으로 추천합니다!"
5339,삼희식당,광주광역시 동구 구성로 164,광주광역시 동구 충장로5가 59-1,35.1509,126.9119,062-225-3233,한식,일반음식점,"광주광역시 동구에서 가 볼 만한 식당을 찾으신다면? 금남로4가역 근처에 있는 ""삼희식당""을 추천합니다!"
5955,수목원,광주광역시 동구 제봉로 181-1,광주광역시 동구 대인동 182,35.1525,126.917,062-234-1370,한식,일반음식점,"광주광역시 동구에서 맛집을 찾으신다면 ""수목원""에 방문해보세요. 금남로4가역 근처에 있습니다."
5956,금성,광주광역시 동구 중앙로 252,광주광역시 동구 동명동 246-1,35.154,126.9205,062-224-4636,한식,일반음식점,"광주광역시 동구에서 어디를 갈지 고민이라면! ""금성""에 가보시는 건 어떨까요?"
5957,수정식당,광주광역시 동구 천변우로 393-18,광주광역시 동구 불로동 43-2,35.1463,126.9134,062-223-4160,일식,일반음식점,"""수정식당""은 광주광역시 동구에 있습니다. 가장 가까운 지하철역은 금남로4가역입니다. 지방자치단체 인증을 받은 농림축산식품부 제공 안심식당입니다."
5958,거북이회관,광주광역시 동구 구성로152번길 5-4,광주광역시 동구 수기동 54-1,35.1499,126.9116,062-223-5753,한식,일반음식점,"광주광역시 동구에 가신다면 ""거북이회관""에 방문해보세요~"
6895,대밭가든,광주광역시 동구 지호로 179-10,광주광역시 동구 지산동 60,35.1504,126.9437,062-222-9738,한식,일반음식점,"어디 가야 할지 고민이시라고요? 그럼 광주광역시 동구 맛집, ""대밭가든""을 추천합니다! 지방자치단체 인증을 받은 농림축산식품부 제공 안심식당입니다."
8248,오동도식당,광주광역시 동구 중앙로196번길 13,광주광역시 동구 궁동 56-3,35.1499,126.9174,062-222-8110,일식,일반음식점,"""오동도식당""은 광주광역시 동구에 있는 맛집으로, 가장 가까운 지하철역은 금남로4가역입니다."
8249,광주식당,광주광역시 동구 구성로194번길 25,광주광역시 동구 대인동 133-1,35.1515,126.9162,062-228-9907,한식,일반음식점,"""광주식당""은 광주광역시 동구에 있습니다. 가장 가까운 지하철역은 금남로4가역입니다."
